title,country,variety,points,price
Ca' del Bosco NV Cuvée Prestige Rosé Sparkling (Franciacorta),Italy,Sparkling Blend,89,60.0
Robert Hall 2011 Sauvignon Blanc (Paso Robles),US,Sauvignon Blanc,86,14.0
Banfi 1999  Brachetto d'Acqui,Italy,Sangiovese,87,23.0
Lapostolle 2000 Sauvignon Blanc (Rapel Valley),Chile,Sauvignon Blanc,86,9.0
Apex 2011 The Catalyst Red (Columbia Valley (WA)),US,Red Blend,88,18.0
Tablas Creek 2012 Patelin de Tablas Red (Paso Robles),US,Rhône-style Red Blend,87,20.0
Quinta de Soalheiro 2016 Alvarinho (Vinho Verde),Portugal,Alvarinho,91,20.0
Domaine Pouillon 2012 Blanc du Moulin Roussanne (Horse Heaven Hills),US,Roussanne,87,26.0
Itsas Mendi 2011 Hondarrabi Zuri (Bizkaiko Txakolina),Spain,Hondarrabi Zuri,88,20.0
A2O 2006 Albariño (Rías Baixas),Spain,Albariño,88,22.0
Santa Alba 2013 Reserve Chardonnay (Maule Valley),Chile,Chardonnay,83,10.0
Ben Hogan 2008 Tribute Series Cabernet Sauvignon (Paso Robles),US,Cabernet Sauvignon,85,27.0
Cottonwood Winery of Oregon 2012 Marina Piper Pinot Noir (Willamette Valley),US,Pinot Noir,88,22.0
Domaine Gérard Neumeyer 2012 Le Berger Pinot Gris (Alsace),France,Pinot Gris,89,25.0
Monte del Frá 2010 Tenuta Lena di Mezzo  (Valpolicella Classico Superiore Ripasso),Italy,"Corvina, Rondinella, Molinara",88,24.0
Statti 2007 Gaglioppo (Calabria),Italy,Gaglioppo,88,18.0
Château Peynaud-Bagnac 2012  Bordeaux,France,Bordeaux-style Red Blend,89,10.0
WillaKenzie Estate 2004 Kiana Pinot Noir (Willamette Valley),US,Pinot Noir,88,45.0
Viña Cobos 2009 Cobos Marchiori Vineyard Malbec (Perdriel),Argentina,Malbec,92,175.0
Adami NV Bosco di Gica Brut  (Prosecco di Valdobbiadene),Italy,Prosecco,87,18.0
Tarara 2008 Viognier (Virginia),US,Viognier,84,30.0
Cescon Italo Storia e Vini 2009 Il Tralcetto Raboso (Piave),Italy,Raboso,87,14.0
Château du Seuil 2015 Domaine du Seuil  (Bordeaux Blanc),France,Bordeaux-style White Blend,85,30.0
Ceretto 2014  Barbaresco,Italy,Nebbiolo,90,51.0
Horse & Plow 2009 Testa Vineyard Zinfandel (Mendocino),US,Zinfandel,84,22.0
Foxen 2009 Bien Nacido Vineyard Block 8 Pinot Noir (Santa Maria Valley),US,Pinot Noir,92,56.0
Gloria Ferrer 2012 Jose S. Ferrer Selection Pinot Noir (Carneros),US,Pinot Noir,88,50.0
Zonin 2007 Pinot Grigio Pinot Grigio (Delle Venezie),Italy,Pinot Grigio,83,9.0
Ded.Reckoning 2015 Sauvignon Blanc (Columbia Valley (WA)),US,Sauvignon Blanc,88,15.0
Conarium 2012 Chardonnay (Sonoma Coast),US,Chardonnay,88,22.0
Schmitges 2011 Riesling (Mosel),Germany,Riesling,90,17.0
Citille di Sopra 2015  Rosso di Montalcino,Italy,Sangiovese,89,32.0
Flora Springs 2014 Wild Boar Vineyard Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,90,125.0
Ponzi 2013 Aurora Vineyard Chardonnay (Willamette Valley),US,Chardonnay,94,60.0
Viña Chocalan 2010 Selección Cabernet Sauvignon (Maipo Valley),Chile,Cabernet Sauvignon,88,12.0
Bernardus 2006 Chardonnay (Monterey County),US,Chardonnay,89,20.0
Bocopa 2015 Conde de Alicante Selección Rosé (Alicante),Spain,Rosé,86,9.0
Broglia 2014 La Meirana del Comune di Gavi  (Gavi),Italy,Cortese,85,15.0
Tosalet 2009 Vinyes Velles Old Vines Red (Priorat),Spain,Red Blend,87,20.0
Johannishof 2013 Rüdesheimer Berg Rottland Spätlese Riesling (Rheingau),Germany,Riesling,92,44.0
Bonterra 2011 Riesling (Lake County-Mendocino County),US,Riesling,87,14.0
Woodinville Wine Cellars 2013 Sauvignon Blanc (Columbia Valley (WA)),US,Sauvignon Blanc,91,18.0
Le Bertille 2013  Chianti Colli Senesi,Italy,Red Blend,87,19.0
Solomon Hills 2012 Pinot Noir (Santa Maria Valley),US,Pinot Noir,94,60.0
Château Vieux Cardinal Lafaurie 2011  Lalande de Pomerol,France,Bordeaux-style Red Blend,90,28.0
MandraRossa 2016 Costa Dune Nero d'Avola (Sicilia),Italy,Nero d'Avola,87,11.0
Dante Robere 2013 Love Ranch Vineyard Mourvèdre (Madera),US,Mourvèdre,87,31.0
Dürnberg 2015 Falko Cuvée White (Niederösterreich),Austria,White Blend,89,15.0
Markham 2007 The Philanthropist Yountville Estate Vineyard Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,88,52.0
Quinta da Alorna 2011 Portal da Aguia Tinto Red (Tejo),Portugal,Portuguese Red,87,11.0
Rio Seco 2007 Estate Bottled Malbec (Mendoza),Argentina,Malbec,80,8.0
Chanson Père et Fils 2009 Clos des Fèves Premier Cru  (Beaune),France,Pinot Noir,93,107.0
Columbia Crest 2013 Beverly Vineyard Reserve Cabernet Franc (Columbia Valley (WA)),US,Cabernet Franc,90,40.0
Terre Rouge 2010 Mourvèdre (Sierra Foothills),US,Mourvèdre,92,25.0
El Coto 2013 Viura (Rioja),Spain,Viura,84,11.0
Two Paddocks 2015 The First Paddock Proprietor's Reserve Pinot Noir (Central Otago),New Zealand,Pinot Noir,91,79.0
Il Colombaio di Cencio 2010 I Massi  (Chianti Classico),Italy,Sangiovese,87,15.0
Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley),Australia,Shiraz-Viognier,94,105.0
Clos La Chance 2012 Erwin Vineyard Pinot Noir (Santa Cruz Mountains),US,Pinot Noir,93,50.0
Canneto 2014  Rosso di Montepulciano,Italy,Red Blend,86,17.0
Pratesi 2012 Carmione Red (Toscana),Italy,Red Blend,89,30.0
Decoy 2006 Red Wine Red (Napa Valley),US,Bordeaux-style Red Blend,85,30.0
Fattoi 2008 Riserva  (Brunello di Montalcino),Italy,Sangiovese,92,120.0
Pinord 2011 M Marrugat Gran Reserva Brut Nature Millésime Sparkling (Cava),Spain,Sparkling Blend,84,20.0
Fattoria di Petrognano 2013 Meme  (Chianti),Italy,Red Blend,86,12.0
Ku Dé Ta 2006 Malbec (Mendoza),Argentina,Malbec,80,10.0
Alamos 2012 Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,87,12.0
Basel Cellars 2005 Pheasant Run Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),US,Cabernet Sauvignon,85,36.0
Loacker 2012 Valdifalco  (Morellino di Scansano),Italy,Red Blend,88,16.0
Gray Ghost 2009 Reserve Cabernet Sauvignon (Virginia),US,Cabernet Sauvignon,85,40.0
Domaine Chandon NV étoile Brut Sparkling (North Coast),US,Sparkling Blend,90,40.0
Adirondack Winery 2015 Island Sunset Cabernet Franc Rosé (New York),US,Rosé,88,16.0
Golan Heights Winery 2007 Yarden Yonatan Vineyard Syrah (Galilee),Israel,Syrah,91,50.0
Joseph Jewell 2013 Pinot Noir (Russian River Valley),US,Pinot Noir,88,34.0
Vignobles Berthier 2012 Domaine des Clairneaux Rosé (Sancerre),France,Rosé,88,26.0
Lamoreaux Landing 2011 Estate Bottled Yellow Dog Vineyard Riesling (Finger Lakes),US,Riesling,85,20.0
Siduri 2013 Pinot Noir (Sta. Rita Hills),US,Pinot Noir,90,34.0
Testarossa 2008 Graham Family Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,87,54.0
Stickybeak 2010 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,85,20.0
The Dot 2015 Austrian Cherry Zweigelt (Niederösterreich),Austria,Zweigelt,89,13.0
Qupé 2015 Sawyer-Lindquist Vineyard Marsanne (Edna Valley),US,Marsanne,91,28.0
Wieninger 2013 Bisamberg White (Wiener Gemischter Satz),Austria,Austrian white blend,90,35.0
Domaine Moillard 2005  Clos de Vougeot,France,Pinot Noir,94,190.0
Domaine Houchart 2008 Rosé (Côtes de Provence),France,Rosé,83,12.0
Holman Ranch 2010 Rosé of Pinot Noir (Carmel Valley),US,Pinot Noir,82,22.0
Acquiesce 2015 Viognier (Lodi),US,Viognier,87,24.0
Jaffelin 2010  Chassagne-Montrachet,France,Chardonnay,86,50.0
Vins El Cep 2010 Cla Ror Gran Reserva Brut Nature Sparkling (Cava),Spain,Sparkling Blend,90,28.0
Wise Villa 2014 Estate Torrontés (Alta Mesa),US,Torrontés,90,30.0
Midnight 2005 Malbec (Paso Robles),US,Malbec,82,28.0
Monticello Vineyards 2009 Tietjen Vineyard Cabernet Sauvignon (Rutherford),US,Cabernet Sauvignon,92,72.0
Alex Gambal 2014  Fixin,France,Chardonnay,90,38.0
Viberti 2007 Bricco delle Viole Riserva  (Barolo),Italy,Nebbiolo,90,105.0
Montevina 1997 Terra D'Oro Zinfandel (Amador County),US,Zinfandel,87,16.0
Landhaus Mayer 2014 Riesling (Niederösterreich),Austria,Riesling,88,18.0
Château Gauthier 2010  Blaye Côtes de Bordeaux,France,Bordeaux-style Red Blend,89,15.0
Damiani 2014 Bollicini Sparkling (Finger Lakes),US,Sparkling Blend,86,16.0
Barone Pizzini 2009 Bagnadore Metodo Classico Riserva Sparkling (Franciacorta),Italy,Sparkling Blend,91,60.0
St. Francis 2007 Cuvée Lago Red (Russian River Valley),US,Red Blend,84,40.0
Château les Crostes 2014 Rosé (Côtes de Provence),France,Rosé,88,24.0
Global Wines 2015 Grilos Red (Dão),Portugal,Portuguese Red,87,7.0
Mt. Beautiful 2013 Sauvignon Blanc (Canterbury),New Zealand,Sauvignon Blanc,89,17.0
Ravoire et Fils 2014 Florette Rosé (Coteaux Varois en Provence),France,Rosé,84,13.0
Vignobles de Balma Venitia 2011 Domaine du Paparotier  (Muscat de Beaumes de Venise),France,Muscat,83,30.0
Saint Clair 2010 Pioneer Block 22 Barn Block Pinot Noir (Marlborough),New Zealand,Pinot Noir,91,30.0
Bernardus 2000 Pinot Noir (Santa Barbara County),US,Pinot Noir,85,28.0
Domaine de Magalanne 2012 Terre de Galets Signargues Red (Côtes du Rhône Villages),France,Rhône-style Red Blend,85,18.0
Dion 2014 Old Vines Pinot Noir (Chehalem Mountains),US,Pinot Noir,94,50.0
Jacob Williams 2010 Eagle Ranch Vineyard Cabernet Sauvignon (Columbia Valley (OR)),US,Cabernet Sauvignon,86,35.0
Bodegas Ondalan 2014 100 Abades  (Rioja),Spain,Graciano,87,40.0
Bailiwick 2010 Borderline Pinot Noir (Marin County),US,Pinot Noir,89,36.0
Lava Cap 2013 Petite Sirah (El Dorado),US,Petite Sirah,90,32.0
Michael Mondavi Family Estate 2012 Emblem Oso Vineyard Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,91,60.0
Ledson 2014 Caudalies Red (Sonoma Valley),US,Red Blend,86,56.0
Bargetto 2008 Old Vine Zinfandel Zinfandel (Lodi),US,Zinfandel,83,20.0
Vale da Corça 2011 Brunheda Reserva Red (Douro),Portugal,Portuguese Red,88,35.0
Guicciardini Strozzi 2015 Titolato Strozzi  (Chianti Colli Senesi),Italy,Sangiovese,87,19.0
Vadio Wines 2005 Vadio Baga (Bairrada),Portugal,Baga,88,35.0
Gundlach Bundschu 2014 Mountain Cuvée Red (Sonoma County),US,Bordeaux-style Red Blend,88,20.0
Thornton 2000 Miramonte Vineyards Pinot Blanc (South Coast),US,Pinot Blanc,86,10.0
San Huberto 2011 Cabernet Sauvignon (Argentina),Argentina,Cabernet Sauvignon,81,9.0
Château Grand Jean 2013  Bordeaux Supérieur,France,Bordeaux-style Red Blend,86,20.0
Spadafora 2012 Rosato Nero d'Avola (Terre Siciliane),Italy,Nero d'Avola,86,23.0
La Cappuccina 2013 Monte Stelle  (Soave Classico),Italy,Garganega,88,16.0
Wirra Wirra 2013 Church Block Cabernet Sauvignon-Merlot-Shiraz (McLaren Vale),Australia,Cabernet Sauvignon-Merlot-Shiraz,91,20.0
Château Roullet 2009  Canon-Fronsac,France,Bordeaux-style Red Blend,85,65.0
Corte Sant' Alda 2004  Amarone della Valpolicella,Italy,"Corvina, Rondinella, Molinara",90,110.0
Ghost Hill 2015 Spirit of Pinot Noir Rosé,US,Rosé,90,20.0
Dogwood 2010 Sargentini Vineyard Zinfandel (Mendocino),US,Zinfandel,83,34.0
Domaine Drouhin Oregon 2012 Édition Limitée Chardonnay (Dundee Hills),US,Chardonnay,95,65.0
Judith Beck 2006 Schafleiten St. Laurent (Burgenland),Austria,St. Laurent,89,47.0
Curtis 2006 Vozelgang Vineyard Syrah (Santa Ynez Valley),US,Syrah,85,24.0
Canalicchio Franco Pacenti 2009  Brunello di Montalcino,Italy,Sangiovese,89,70.0
Penfolds 2006 Bin 28 Kalimna Shiraz (Barossa Valley),Australia,Shiraz,88,26.0
Louis Roederer 2006 Brut Nature  (Champagne),France,Champagne Blend,92,89.0
Fielding Hills 2014 Estate Tribute Riverbend Vineyard Red (Wahluke Slope),US,Red Blend,88,38.0
Santos & Seixo 2016 Rotas de Portugal Red (Alentejano),Portugal,Portuguese Red,86,9.0
Ravines 2010 Sauvignon Blanc (Finger Lakes),US,Sauvignon Blanc,90,18.0
MacPhail 2007 Pratt Vineyard Pinot Noir (Sonoma Coast),US,Pinot Noir,94,60.0
Kendall-Jackson 2011 Vintner's Reserve Chardonnay (California),US,Chardonnay,88,15.0
Heron Hill 2011 Eclipse Red (New York),US,Bordeaux-style Red Blend,90,18.0
Ribbon Cliff 2013 Cabernet Franc (Columbia Valley (WA)),US,Cabernet Franc,88,35.0
Hacienda del Carche NV Brut Sparkling (Cava),Spain,Sparkling Blend,82,10.0
Secret Cellars 2014 Pinot Noir (Santa Lucia Highlands),US,Pinot Noir,86,14.0
Château Maison Noble 2014 Rosé (Bordeaux Rosé),France,Rosé,84,9.0
Hogue 2014 Red (Columbia Valley (WA)),US,Red Blend,88,8.0
Cantina Terlano 2014 Pinot Bianco (Alto Adige),Italy,Pinot Bianco,86,22.0
Montaribaldi 2012 Capural  (Roero),Italy,Arneis,89,16.0
Seghesio 1998 San Lorenzo Zinfandel (Sonoma County),US,Zinfandel,91,28.0
Otuwhero 2008 O:TU Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,86,16.0
Soluna 2010 Premium Malbec (Mendoza),Argentina,Malbec,89,18.0
Yazgan 2014 Casaba Cabernet Sauvignon-Merlot (Turkey),Turkey,Cabernet Sauvignon-Merlot,87,16.0
Taba 2015 G  (Greco di Tufo),Italy,Greco,85,19.0
Château Feret Lambert 2011  Bordeaux Supérieur,France,Bordeaux-style Red Blend,90,35.0
Illuminati Dino 2007 Lumen Riserva Red (Controguerra),Italy,Red Blend,92,70.0
Bernard Magrez 2013 Château des Muraires Rosé (Côtes de Provence),France,Rosé,89,26.0
Soléna 2015 Prince Hill Vineyard Pinot Noir (Dundee Hills),US,Pinot Noir,90,48.0
Thörle 2016 Feinherb Riesling (Rheinhessen),Germany,Riesling,91,22.0
René Muré 2012 Clos Saint Landelin Pinot Noir (Alsace),France,Pinot Noir,90,75.0
Walnut City WineWorks 2014 Gewürztraminer (Willamette Valley),US,Gewürztraminer,90,18.0
Hilltown 2009 Pinot Noir (California),US,Pinot Noir,81,9.0
Vignerons de Bel Air 2012 Grande QV  (Bourgogne Gamay),France,Gamay,85,16.0
MacRostie 2006 Pinot Noir (Carneros),US,Pinot Noir,87,30.0
Dobbes Family Estate 2013 Eola-Amity Cuvée Pinot Noir (Eola-Amity Hills),US,Pinot Noir,88,40.0
Fullerton 2013 Five Faces Pinot Noir (Willamette Valley),US,Pinot Noir,87,33.0
Collemassari 2009 Riserva  (Montecucco),Italy,Red Blend,90,25.0
Aspaldi 2010 Crianza  (Rioja),Spain,Tempranillo Blend,89,15.0
FEL 2014 Donnelly Creek Pinot Noir (Anderson Valley),US,Pinot Noir,92,65.0
Txomín Etxaníz 2011 Getaria Rosé (Getariako Txakolina),Spain,Rosé,83,25.0
Castiglion del Bosco 2004 Campo del Drago  (Brunello di Montalcino),Italy,Sangiovese Grosso,92,75.0
Michele Taliano 2008 Ad Altiora  (Barbaresco),Italy,Nebbiolo,91,60.0
Mastroberardino 2009 Naturalis Historia  (Taurasi),Italy,Aglianico,93,90.0
Château Margaux 2013  Margaux,France,Bordeaux-style Red Blend,95,395.0
Château du Port 2013 Tertre-Perdigous Malbec-Merlot (Cahors),France,Malbec-Merlot,87,16.0
Wilderotter 2014 Barbera (Shenandoah Valley (CA)),US,Barbera,87,30.0
Edna Valley Vineyard 2013 Paragon Chardonnay (Central Coast),US,Chardonnay,83,15.0
Headbanger 2009 Zinfandel (Sonoma County),US,Zinfandel,84,20.0
Derby 2013 Implico Red (Paso Robles),US,Bordeaux-style Red Blend,87,34.0
Hagafen 2000 Chardonnay (Napa Valley),US,Chardonnay,86,18.0
Benmarl 2014 Stainless Steal Chardonnay (Finger Lakes),US,Chardonnay,85,15.0
Sant Wines 2014 Buena Aventura Pinot Noir (Sta. Rita Hills),US,Pinot Noir,92,47.0
Marengo NV Brut Sparkling (Ukraine),Ukraine,Sparkling Blend,83,10.0
Bruno Giacosa 2007 Extra Brut Metodo Classico Pinot Nero (Vino Spumante),Italy,Pinot Nero,89,50.0
Monte Novo e Figueirinha 2007 Herdade da Figueirinha Reserva Red (Alentejano),Portugal,Portuguese Red,81,9.0
Vignobles Berthier 2012 Domaine de Montbenoit Pinot Noir (Coteaux du Giennois),France,Pinot Noir,87,16.0
Arbor Crest 2006 Sauvignon Blanc (Columbia Valley (WA)),US,Sauvignon Blanc,88,11.0
Joseph Mellot 2014 Le Rabault  (Sancerre),France,Pinot Noir,85,30.0
Viu Manent 2009 Reserva Malbec (Colchagua Valley),Chile,Malbec,88,14.0
Sonoma Trail 2006 Pinot Noir (Sonoma Coast),US,Pinot Noir,86,15.0
Bota Box 2015 Moscato (California),US,Moscato,84,23.0
Henriet-Bazin NV Sélection de Parcelles Premier Cru Brut  (Champagne),France,Champagne Blend,92,60.0
Picket Fence 2010 Chardonnay (Russian River Valley),US,Chardonnay,85,15.0
Il Grappolo 2010  Brunello di Montalcino,Italy,Sangiovese,93,50.0
Rancho Sisquoc 2011 Flood Family Vineyards Syrah (Santa Barbara County),US,Syrah,85,25.0
Château Villa Bel Air 2007  Graves,France,Bordeaux-style White Blend,91,25.0
Mirassou 1997 Coastal Selection Merlot (Monterey County),US,Merlot,81,13.0
Standing Stone 2005 Reserve Chardonnay (Finger Lakes),US,Chardonnay,82,20.0
Pepper Bridge 2009 Seven Hills Vineyard Red (Walla Walla Valley (WA)),US,Bordeaux-style Red Blend,93,60.0
Concha y Toro 2008 Casillero del Diablo Reserve Merlot (Rapel Valley),Chile,Merlot,86,10.0
Apolloni 2007 Pinot Grigio (Willamette Valley),US,Pinot Grigio,89,17.0
Trivento 2016 White Orchid Reserve Torrontés (Mendoza),Argentina,Torrontés,87,11.0
Season 2014 Limited Edition Series Carmenère (Southern Oregon),US,Carmenère,88,38.0
Brian Carter Cellars 2012 Oriana White (Yakima Valley),US,White Blend,91,22.0
Paul Jaboulet Aîné 2007 Les Jumelles  (Côte Rôtie),France,Syrah,89,110.0
Husch 2007 Late Harvest Gewürztraminer (Anderson Valley),US,Gewürztraminer,82,20.0
Boeckel 2014 Riesling (Alsace),France,Riesling,87,42.0
Ledson 1999 Merlot (Sonoma Valley),US,Merlot,91,36.0
Canard-Duchêne NV Charles VII Grande Cuvée des Lys Blanc de Noirs Brut  (Champagne),France,Champagne Blend,89,50.0
Coastview 2007 North Block Syrah (Monterey County),US,Syrah,90,29.0
Abbadia Ardenga 2008 Vigna Piaggia  (Brunello di Montalcino),Italy,Sangiovese Grosso,91,60.0
Martin Ray 2012 Pinot Noir (Santa Barbara County),US,Pinot Noir,86,20.0
Carmel 2007 Private Collection Kosher Merlot (Galilee),Israel,Merlot,86,18.0
Martin Ray 2010 Pinot Noir (Russian River Valley),US,Pinot Noir,84,40.0
Omaka Springs 2001 Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,89,17.0
Chime 2009 Pinot Noir (Sonoma County),US,Pinot Noir,91,19.0
Mercer 2015 Culloden Vineyard Viognier (Horse Heaven Hills),US,Viognier,86,18.0
Santa Ema 2006 Barrel Select Reserve Carmenère (Cachapoal Valley),Chile,Carmenère,86,12.0
Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),Portugal,Rosé,85,12.0
Lombard et Cie NV Tanagra Brut Grand Cru  (Champagne),France,Champagne Blend,92,60.0
Ruby Hill Winery 2012 Reserve Petite Sirah (Livermore Valley),US,Petite Sirah,93,29.0
Hahn 2015 Pinot Gris (Monterey County),US,Pinot Gris,87,15.0
Sheldrake Point 2010 Cabernet Franc (Finger Lakes),US,Cabernet Franc,85,18.0
Cafaggio 2010 Basilica del Pruneto Merlot (Toscana),Italy,Merlot,91,40.0
Educated Guess 2014 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,85,25.0
Locati Cellars 2006 Sangiovese (Columbia Valley (WA)),US,Sangiovese,85,26.0
Domaine de Terra Vecchia 2015 Niellucciu-Syrah Cuvée Armonia Rosé (Ile de Beauté),France,Rosé,86,15.0
La Vis 2001 Bianco dei Sorni White (Trentino),Italy,White Blend,88,15.0
Chasseur 2012 Pinot Noir (Russian River Valley),US,Pinot Noir,90,40.0
R. de Ayala Lete E Hijos 2004 Deóbriga Selección Familiar  (Rioja),Spain,Tempranillo Blend,91,22.0
Dutton-Goldfield 1999 Freestone Hill Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,92,55.0
Finca Valpiedra 2009 Cantos de Valpiedra  (Rioja),Spain,Tempranillo,88,20.0
Waterbrook 2012 Icon Reserve Cabernet Sauvignon (Columbia Valley (WA)),US,Cabernet Sauvignon,87,35.0
Caccia al Piano 1868 2008 Levia Gravia  (Bolgheri Superiore),Italy,Red Blend,92,56.0
Bodega NQN 2011 Picada 15 Malbec (Patagonia),Argentina,Malbec,86,13.0
Mignanelli 2013 Pinot Noir (Santa Cruz Mountains),US,Pinot Noir,87,36.0
Errazuriz 2015 Pinot Noir (Aconcagua Valley),Chile,Pinot Noir,91,25.0
Veramar 2012 Estate Club Cabernet Franc (Shenandoah Valley),US,Cabernet Franc,83,18.0
Altamira 2010 de los Andes Reserve Malbec (Uco Valley),Argentina,Malbec,86,25.0
Le Strie 2011  Sforzato di Valtellina,Italy,Nebbiolo,89,54.0
Valentin Bianchi 2009 Malbec (Mendoza),Argentina,Malbec,89,13.0
Pheasant Valley Winery 2006 Cabernet Sauvignon (Columbia Valley (OR)),US,Cabernet Sauvignon,87,22.0
Brancott 2007 Sauvignon Blanc (Marlborough),New Zealand,Sauvignon Blanc,86,13.0
Vin du Lac 2011 Cuvée Rouge Red (Columbia Valley (WA)),US,Red Blend,84,25.0
Jardin 2011 Barrel Fermented Chenin Blanc (Stellenbosch),South Africa,Chenin Blanc,88,16.0
Rutz 2005 Bacigalupi Vineyard Chardonnay (Russian River Valley),US,Chardonnay,85,55.0
Biondi Santi 2006 Riserva  (Brunello di Montalcino),Italy,Sangiovese Grosso,94,900.0
Jacob's Creek 1999 Reserve Chardonnay (Barossa Valley),Australia,Chardonnay,88,16.0
Midnight 2012 Estate Chardonnay (Paso Robles),US,Chardonnay,85,26.0
Coyote Canyon 1999 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),US,Pinot Noir,88,55.0
Terre Rouge 2008 Muscat a Petits Grains Vin Doux Naturel Muscat (Shenandoah Valley (CA)),US,Muscat,93,15.0
